fid,Organizati,Address,City,State,Postcode,Main Phone,Discipline,Council Di,Community,Borough,Latitude,Longitude,Census Tra,BIN,BBL,NTA
"23",African Diaspora Film Festival,"535 Cathedral Parkway, Ste. 14B",New York,NY,"10025",(212) 864-1760,Film/Video/Audio,Manhattan Council District #8,Manhattan Community Board #9,Manhattan,40.803795,-73.965797,"199","1056904",1018820008,Morningside Heights
"24","African Film Festival, Inc.","154 West 18th Street, Ste. 2A",New York,NY,"10011",(212) 352-1720,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.740493,-73.996547,"81","1014671",1007930067,Hudson Yards-Chelsea-Flatiron-Union Square
"25","African Services Committee, Inc.",429 W 127th Street,New York,NY,"10027",(212) 222-3882,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #7,Manhattan Community Board #9,Manhattan,40.813002,-73.953849,"21303","1084104",1019670060,Manhattanville
"26",Afro Brazil Arts,"107 Suffolk Street, Studio 307",New York,NY,"10002",(212) 677-2203,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.718943,-73.986122,"1402","1004301",1003530054,Lower East Side
"27","Afro-Asian, Inc.","107 Suffolk Street, Apt. 213-A",New York,NY,"10002",(212) 253-2280,Music,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.718943,-73.986122,"1402","1004301",1003530054,Lower East Side
"28","Agudath Israel of America Community Services, Inc.","42 Broadway, 14th Floor",New York,NY,"10004",(212) 797-9000 x260,Humanities,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.70627,-74.012909,"9","1000812",1000220020,Battery Park City-Lower Manhattan
"29","Aks Chorale, Inc.",429 East 52nd Street,New York,NY,"10022",(212) 755-4061,Music,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,40.754801,-73.964447,"8603","1040156",1013640034,Turtle Bay-East Midtown
"30",Albanian Artists Association,169 east 101st street,New York,NY,"10029",(212) 945-8268,Film/Video/Audio,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,40.788786,-73.947936,"166","1051843",1016290024,East Harlem South
"31",Alchemy Theatre Company of Manhattan,412 West 42nd Street,New York,NY,"10036",(212) 967-0901,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.758682,-73.993254,"115","1026330",1010510029,Clinton
"32","Alison Cook Beatty Dance, Inc.",170 East 87th Street,New York,NY,"10128",(917) 620-2057,Dance,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,40.779846,-73.954342,"14802","1047961",1015157503,Upper East Side-Carnegie Hill
"33","All For One Theater Festival, Inc.",1650 Broadway,New York,NY,"10019",(212) 398-7180,Theater,Manhattan Council District #4,Manhattan Community Board #5,Manhattan,40.761964,-73.983684,"131","1024811",1010220035,Midtown-Midtown South
"34","All Out Arts, Inc.",131 West 35th Street,New York,NY,10001-2111,(917) 701-9033,"Multi-Discipline, Performing",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.750999,-73.988559,"109","1015225",1008110016,Midtown-Midtown South
"35","Alliance for Downtown New York, Inc","120 Broadway, Ste. 3340",New York,NY,"10271",(212) 835-2740,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.708546,-74.011041,"7","1001026",1000477501,Battery Park City-Lower Manhattan
"36",Alliance for Inclusion in the Arts,"1560 Broadway, Suite 1600",New York,NY,"10036",(212) 730-4750,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.75886,-73.984843,"125","1022661",1009990003,Midtown-Midtown South
"37","Alliance for Young Artists and Writers, Inc.",557 Broadway,New York,NY,"10012",(212) 343-7702,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.723835,-73.998138,"49","1088114",1004980009,SoHo-TriBeCa-Civic Center-Little Italy
"38","Alliance for the Arts, Inc.","330 West 42nd Street, Ste. 1701",New York,NY,"10036",(212) 947-6340,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.757661,-73.990832,"115","1024926",1010320048,Clinton
"39","Alliance for the Development of Theatre Artists, Inc.","520 Eighth Ave., Suite 315",New York,NY,"10018",(212) 447-6309,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.753612,-73.992417,"109","1083624",1007860001,Midtown-Midtown South
"40","Alliance of Resident Theatres / New York, Inc.","520 Eighth Avenue, Suite 319",New York,NY,"10018",(212) 244-6667 x228,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.753612,-73.992417,"109","1083624",1007860001,Midtown-Midtown South
"41","Alpha Omega 1-7 Theatrical Dance Company, Inc.",70 East 4th Street,New York,NY,"10003",(212) 749-0095,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.726563,-73.990331,"38","1077966",1004590021,East Village
"42","Alpha Workshops, Inc.","245 West 29th Street, Suite 12A",New York,NY,"10001",(212) 594-7320,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.748417,-73.994222,"95","1014282",1007790013,Midtown-Midtown South
"43",Alwan Foundation,"16 Beaver Street, 4th Floor",New York,NY,"10004",(212) 967-4318,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.704983,-74.012375,"9","1000030",1000110007,Battery Park City-Lower Manhattan
"44","Amas Musical Theatre, Inc.","257 West 52nd Street, 5th Floor",New York,NY,"10019",(212) 563-2565,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.763125,-73.984182,"131","1024826",1010240007,Midtown-Midtown South
"45",American Academy of Dramatic Arts,120 Madison Ave,New York,NY,"7307",(212) 686-9244 x317,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.745402,-73.984691,"74","1016957",1008600016,Midtown-Midtown South
"46","American Bolero Dance Company, Inc.",42-24 9th Street,Long Island City,NY,"11101",(718) 392-8888,Dance,Queens Council District #26,Queens Community Board #2,Queens,40.753508,-73.948837,"19","4005310",4004620001,Hunters Point-Sunnyside-West Maspeth
"47","American Center for Musical Arts, Inc.","201 West 72nd Street, Ste. 3-K",New York,NY,"10023",(718) 680-1680,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.778954,-73.982412,"159","1077846",1011647501,Lincoln Square
"48","American Classical Orchestra, Inc.",225 West 99th Street,New York,NY,"10025",(212) 362-2727,Music,Manhattan Council District #7,Manhattan Community Board #7,Manhattan,40.796267,-73.969586,"187","1084035",1018710029,Upper West Side
"49",American Composers Orchestra,244 West 54th Street,New York,NY,"10019",(212) 977-8495 x203,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.764261,-73.983037,"131","1024842",1010250054,Midtown-Midtown South
"50","American Dance Guild, Inc.","320 West 83rd Street, Apt. 7D",New York,NY,"10024",(212) 874-6947,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.78727,-73.98012,"171","1033808",1012450034,Upper West Side
"51","American Dance Machine for the 21st Century Foundation, Inc.",45 East 80th Street,New York,NY,"10075",(917) 570-0040,Dance,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,40.776857,-73.961262,"142","1076323",1014927501,Upper East Side-Carnegie Hill
"52",American Documentary,20 Jay Street,Brooklyn,NY,"11201",(212) 989-8121 x307,Film/Video/Audio,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,40.704313,-73.986587,"21","3000010",3000190001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"53",American Folk Art Museum,47-29 32nd Place,Queens,NY,"11101",(212) 265-1040 x114,Museum,Manhattan Council District #6,Manhattan Community Board #5,Queens,40.74212,-73.93313,"199","4003447",4002520018,Hunters Point-Sunnyside-West Maspeth
"54",American Friends of the Ludwig Foundation of Cuba,"3 East 69th Street, Apt. 11B",New York,NY,"10021",(212) 628-3494,Film/Video/Audio,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,40.770365,-73.96806,"122","1041292",1013840010,Upper East Side-Carnegie Hill
"55","American Globe Theatre, Ltd.","145 West 46th Street, 3rd Floor",New York,NY,"10036",(212) 869-9809,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.757946,-73.983547,"125","1022665",1009990012,Midtown-Midtown South
"56","American Indian Artists, Inc.",288 East 10th Street,New York,NY,"10009",(212) 598-0968,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #6,Manhattan,40.728102,-73.982862,"34","1005912",1004370025,East Village
"57","American Indian Community House, Inc.","11 Broadway, 2nd Floor",New York,NY,"10004",(212) 598-0100 x232,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.705354,-74.013731,"13","1000044",1000130005,Battery Park City-Lower Manhattan
"58",American Institute of Architects,536 LaGuardia Place,New York,NY,"10012",(212) 358-0640,Architecture/Design,,,Manhattan,40.728575,-73.998532,"65","1008642",1005370026,West Village
"59",American Institute of Graphic Arts,233 Broadway,New York,NY,"10279",(212) 710-3125,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.712265,-74.007892,"21","1087167",1001237501,SoHo-TriBeCa-Civic Center-Little Italy
"60",American Jewish Historical Society,15 West 16th Street,New York,NY,"10011",(212) 294-6160,Humanities,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.737677,-73.993454,"54","1080631",1008180027,Hudson Yards-Chelsea-Flatiron-Union Square
"61","American Lyric Theater Center, Inc.",410 West 42nd Street,New York,NY,"10036",(646) 216-8298,Music,Manhattan Council District #4,Manhattan Community Board #3,Manhattan,40.758652,-73.993185,"115","1026330",1010510029,Clinton
"62","American Modern Ensemble, Inc.","400 West 43rd Street, Ste. 39-S",New York,NY,"10036",(212) 349-7009,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.759302,-73.992636,"121","1083745",1010520001,Clinton
"63","American Music Center, Inc.",322 8th Avenue,New York,NY,"10001",(212) 366-5260 x13,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.747294,-73.997023,"95","1014225",1007760001,Midtown-Midtown South
"64","American Performing Arts Collaborative, Inc.",6 Hancock Place,New York City,NY,"10027",(212) 665-7716,Theater,Manhattan Council District #9,Manhattan Community Board #9,Manhattan,40.81029,-73.953685,"20901","1059277",1019500056,Morningside Heights
"65","American Place Theatre, Inc.","266 West 37th Street, 22nd Floor",New York,NY,"10018",(212) 594-4482 x11,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.753632,-73.991009,"109","1083624",1007860001,Midtown-Midtown South
"66",American Symphony Orchestra League,"33 West 60th Street, 5th Floor",New York,NY,"10023",(646) 822-4039,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.769303,-73.983003,"145","1084277",1011130008,Lincoln Square
"67","American Symphony Orchestra, Inc.",263 West 38th Street,New York,NY,"10018",(212) 868-9276 x16,Music,Manhattan Council District #4,Manhattan Community Board #4,Manhattan,40.75423,-73.990468,"113","1014474",1007880011,Midtown-Midtown South
"68","American Tap Dance Foundation, Inc.",154 Christopher Street,New York,NY,"10014",(646) 230-9564,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.73273,-74.008129,"69","1010421",1006040033,West Village
"69",American Theatre Wing,"230 West 41st Street, Suite 1101",New York,NY,"10036",(212) 765-0606 x302,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.755802,-73.988482,"113","1080830",1010120015,Midtown-Midtown South
"70","American Turkish Society, Inc.",3 Dag Hammarskjold Plaza,New York,NY,"10017",(212) 583-7614,Film/Video/Audio,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,40.752818,-73.969447,"90","1038906",1013407502,Turtle Bay-East Midtown
"71","Americas Society, Inc.",680 Park Avenue,New York,NY,"10065",(212) 277-8334,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #4,Manhattan Community Board #8,Manhattan,40.768739,-73.965563,"122","1041265",1013830033,Upper East Side-Carnegie Hill
"72",Amigos del Museo del Barrio,1230 Fifth Avenue,New York,NY,"10029",(212) 831-7272,Visual Arts,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,40.793072,-73.951992,"168","1051499",1016100001,East Harlem South
"73","An Claidheamh Soluis, Inc.",553 West 51st Street,New York,NY,"10019",(212) 757-3318 x205,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.766183,-73.993394,"135","1082282",1010800102,Clinton
"74","Angel Orensanz Foundation, Inc",172 Norfolk Street,New York,NY,"10002",(212) 529-7194,,,,Manhattan,40.721174,-73.985927,"3001","1004329",1003550041,Chinatown
"75","Annabella Gonzalez Dance Theater, Inc.","4 East 89th Street, #PH-C",New York,NY,"10128",(212) 722-4128,Dance,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,40.783345,-73.958752,"15002","1046964",1015000065,Upper East Side-Carnegie Hill
"76","Anthology Film Archives, Inc.",32 Second Avenue,New York,NY,"10003",(212) 505-5181 x11,Film/Video/Audio,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.724716,-73.990486,"3602","1006081",1004430008,East Village
"77",Anyone Corporation,41 West 25th Street,New York,NY,"10010",(212) 645-1400,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.743523,-73.990285,"58","1015612",1008270012,Hudson Yards-Chelsea-Flatiron-Union Square
"78","Aperture Foundation, Inc.","547 West 27th Street, 4th Floor",New York,NY,"10001",(212) 946-7117,Photography,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.750893,-74.003934,"99","1012403",1006990005,Hudson Yards-Chelsea-Flatiron-Union Square
"79",ApexArt Curatorial Program,291 Church Street,New York,NY,"10013",(212) 431-5270,Visual Arts,Manhattan Council District #1,Manhattan Community Board #10,Manhattan,40.719084,-74.004654,"33","1002206",1001930019,SoHo-TriBeCa-Civic Center-Little Italy
"80","Apollo Theater Foundation, Inc.",253 West 125th Street,New York,NY,"10027",(212) 531-5332,"Multi-Discipline, Performing",Manhattan Council District #9,Manhattan Community Board #10,Manhattan,40.809778,-73.95021,"222","1058654",1019310010,Central Harlem South
"81","Appleby Foundation, Inc.","579 Broadway, 4B, Apt. 4B",New York,NY,"10012",(212) 431-8489,Dance,Manhattan Council District #2,Manhattan Community Board #1,Manhattan,40.724612,-73.997478,"49","1007953",1005120020,SoHo-TriBeCa-Civic Center-Little Italy
"82","Aquila Theatre Company, Inc.",100 Washington Square East,New York,NY,"10003",(212) 992-9642,Theater,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.73054,-73.995706,"59","1008820",1005470001,West Village
"83",Architectural League of New York,"594 Broadway, Suite 607",New York,NY,"10012",(212) 753-1722,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.72496,-73.997157,"43","1007944",1005110012,SoHo-TriBeCa-Civic Center-Little Italy
"84",Archive for Research in Archetypal Symbolism,28 East 39th Street,New York,NY,"10016",(212) 697-3480,Other,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,40.750619,-73.980023,"82","1017240",1008680050,Murray Hill-Kips Bay
"85","Arcos Orchestra, Ltd.",17 E 96th St 14B,New York,NY,"10128",(772) 766-2851,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,40.78765,-73.955138,"16002","1051441",1016020013,East Harlem South
"86",Ardea Arts,463 Broome Street,New York,NY,"10013",(212) 431-7039,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.722419,-74.001147,"47","1007034",1004740009,SoHo-TriBeCa-Civic Center-Little Italy
"87","Arete Education, Inc.",557 Grand Concourse,Bronx,NY,"10451",(646) 504-2015,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #8,Bronx Community Board #1,Bronx,40.819057,-73.927092,"63","2001057",2023470024,West Concourse
"88",Arete Living Arts Foundation,64 Dupont St 2L,Brooklyn,NY,"11222",(718) 349-1681,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,40.735643,-73.95749,"563","3063810",3024950015,Greenpoint
"89","Armitage Foundation, Ltd.",9 North Moore St. #4,New York,NY,"10013",(212) 431-4314,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.719748,-74.006414,"33","1002175",1001907502,SoHo-TriBeCa-Civic Center-Little Italy
"90","Around the Block, Inc.","5 East 22nd Street, Suite 9K",New York,NY,"10010",(212) 673-9187,Theater,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,40.740426,-73.988976,"56","1016304",1008517501,Hudson Yards-Chelsea-Flatiron-Union Square
"91","Ars Nova Theater I, Inc.",511 West 54th Street,New York,NY,"10019",(212) 489-9800 x139,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #4,Manhattan,40.767432,-73.990523,"135","1027060",1010830026,Clinton
"92","Art Beyond Sight, Inc.",589 Broadway,New York,NY,"10012",(212) 334-8720,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.724818,-73.997305,"49","1007952",1005120017,SoHo-TriBeCa-Civic Center-Little Italy
"93",Art Connects New York,"4 West 43rd Street, #507",New York,NY,"10036",(646) 546-5334,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.754371,-73.980932,"96","1034201",1012580042,Midtown-Midtown South
"94","Art Creates Us, Inc.","247 Water Street, Suite 403",Brooklyn,NY,"11201",(212) 256-1947,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,40.703018,-73.984055,"21","3000055",3000320055,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"95","Art Directors Club, Inc.",106 West 29th Street,New York,NY,"10001",(212) 643-1440,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.746882,-73.99062,"95","1015125",1008040044,Midtown-Midtown South
"96",Art For Progress,"133 Mulberry Street, #4W1",New York,NY,"10013",(212) 475-4185,"Multi-Discipline, Non-Perform",Manhattan Council District #2,Manhattan Community Board #2,Manhattan,40.718455,-73.99776,"41","1003081",1002367503,SoHo-TriBeCa-Civic Center-Little Italy
"97",Art House Astoria Conservatory for Music and Art,23-35 Broadway,Astoria,NY,"11106",(347) 738-4148,"Multi-Discipl, Perf & Non-Perf",Queens Council District #22,Queens Community Board #1,Queens,40.764312,-73.930025,"75","4006568",4005670007,Astoria
"98",Art Loisaida Foundation,608 E.9th St.,New York,NY,"10009",(212) 674-4057,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.725963,-73.979601,"2602","1004739",1003910011,Lower East Side
"99",Art Omi Inc.,"55 Fifth Avenue, 15th Floor",New York,NY,"10003",(212) 206-5660,"Multi-Discipline, Performing",Manhattan Council District #2,Brooklyn Community Board #3,Manhattan,40.734877,-73.994422,"61","1009373",1005707501,West Village
"100","Art Radio International, Inc.",159 Pioneer St,Brooklyn,NY,"11231",(212) 233-1096,New Media,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.705357,-74.003141,"1502","1000000",1000730008,Battery Park City-Lower Manhattan
"101",Art Resources Transfer,"526 W 26th St., #614",New York,NY,"10001",(212) 255-2919,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.750094,-74.003999,"99","1012386",1006970047,Hudson Yards-Chelsea-Flatiron-Union Square
"102","Art Resources for Teachers and Students, Inc.",134 Henry Street,New York,NY,"11372",(212) 962-8231,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.713311,-73.990863,"6","1003263",1002730032,Lower East Side
"103","Art Start, Inc.",526 West 26th Street Suite 501,New York,NY,"10001",(212) 460-0019,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.750094,-74.003999,"99","1012386",1006970047,Hudson Yards-Chelsea-Flatiron-Union Square
"104",Art Students League of New York,215 West 57th Street,New York,NY,"10019",(212) 247-4510 x108,Visual Arts,Manhattan Council District #7,Manhattan Community Board #5,Manhattan,40.765894,-73.980896,"137","1080846",1010290023,Midtown-Midtown South
"105","Art Sweats, Inc.",75 Broad Street,New York,NY,"10004",(212) 677-2503,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.704541,-74.011552,"9","1000849",1000290070,Battery Park City-Lower Manhattan
"106","Art for Change, Inc.",1699 Lexington Avenue,New York,NY,"10029",(212) 348-7044,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,40.792606,-73.946001,"172","1052053",1016340052,East Harlem South
"107","Art in General, Inc.",20 Jay Street,New York,NY,"11201",(212) 219-0473 x36,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Brooklyn,40.704313,-73.986587,"21","3000010",3000190001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"108","Art of the Early Keyboard, Inc.","170 West 73rd Street, Apt. 3C",New York,NY,"10023",(212) 967-9157,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.778865,-73.980145,"157","1029960",1011440061,Lincoln Square
"109","Art21, Inc.","231 West 29th Street, #706",New York,NY,"10001",(212) 741-7133,Visual Arts,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.748299,-73.993937,"95","1014283",1007790017,Midtown-Midtown South
"110","ArtBridge Projects, Inc.","430 W. 24th Street, Suite 1EE",New York,NY,10011-1154,(917) 720-5742,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.74758,-74.001888,"93","1082713",1007210007,Hudson Yards-Chelsea-Flatiron-Union Square
"111","ArtCouncil, Inc.","210 Eleventh Avenue, Ste. 503",New York,NY,"10001",(212) 727-2233 x207,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.74986,-74.006291,"99","1012378",1006960065,Hudson Yards-Chelsea-Flatiron-Union Square
"112","ArtCrawl Harlem, Inc.",363 Malcolm X Blvd,New York,NY,"10027",(212) 866-7427,Visual Arts,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,40.809844,-73.943986,"224","1057946",1019130030,Central Harlem North-Polo Grounds
